,TVAE_UCI_SHAP
0,0.0030713538868326336
1,0.009994847373542996
2,3.73802936539942e-06
3,1.8893601571603384e-05
4,0.00011158599348547025
5,0.06370572207999012
6,0.022862305492518685
7,3.1675706499349973e-05
8,0.0378384725307936
9,0.026279565603693596
10,0.0009242496402288143
11,0.0034866340087071064
12,0.0006929749393067969
13,0.00030542482129023357
14,9.445796496147438e-05
15,0.00011731041246649179
16,0.0006812811013247007
17,0.001756429836215737
18,0.0014263091928133234
19,0.0010969827010074427
20,0.0005369330587936826
21,0.0009215763116373484
22,0.0012552051819875972
